iter	Passed	Remaining
1247	14942	104786
1248	14952	104762
1249	14961	104731
1250	14973	104715
1251	14983	104692
1252	14993	104664
1253	15003	104644
1254	15014	104622
1255	15023	104590
1256	15034	104569
1257	15042	104535
1258	15053	104514
1259	15064	104494
1260	15072	104458
1261	15084	104442
1262	15097	104437
1263	15106	104406
1264	15116	104383
1265	15125	104348
1266	15136	104328
1267	15146	104307
1268	15156	104277
1269	15167	104264
1270	15178	104240
1271	15187	104208
1272	15197	104189
1273	15207	104158
1274	15218	104139
1275	15229	104123
1276	15239	104097
1277	15249	104072
1278	15258	104038
1279	15267	104008
1280	15278	103994
1281	15292	103995
1282	15304	103984
1283	15316	103970
1284	15327	103953
1285	15336	103923
1286	15348	103907
1287	15359	103889
1288	15368	103862
1289	15381	103853
1290	15392	103838
1291	15402	103813
1292	15413	103796
1293	15424	103778
1294	15434	103747
1295	15445	103729
1296	15454	103703
1297	15465	103680
1298	15475	103661
1299	15485	103630
1300	15497	103619
1301	15509	103608
1302	15518	103580
1303	15529	103561
1304	15539	103540
1305	15549	103513
1306	15560	103497
1307	15571	103476
1308	15580	103444
1309	15590	103418
1310	15598	103386
1311	15609	103367
1312	15620	103345
1313	15628	103310
1314	15638	103285
1315	15656	103311
1316	15664	103278
1317	15674	103254
1318	15684	103228
1319	15693	103196
1320	15703	103174
1321	15713	103148
1322	15726	103143
1323	15739	103141
1324	15753	103142
1325	15762	103109
1326	15776	103113
1327	15786	103089
1328	15795	103056
1329	15807	103048
1330	15821	103048
1331	15834	103044
1332	15844	103020
1333	15855	103002
1334	15867	102987
1335	15877	102964
1336	15887	102940
1337	15897	102915
1338	15906	102887
1339	15918	102875
1340	15931	102870
1341	15943	102859
1342	15955	102850
1343	15967	102839
1344	15980	102831
1345	15990	102810
1346	16002	102797
1347	16013	102781
1348	16024	102764
1349	16035	102747
1350	16046	102731
1351	16056	102703
1352	16070	102707
1353	16082	102697
1354	16095	102691
1355	16105	102668
1356	16118	102659
1357	16129	102645
1358	16143	102643
1359	16154	102627
1360	16164	102607
1361	16175	102584
1362	16184	102557
1363	16194	102535
1364	16204	102508
1365	16214	102488
1366	16225	102466
1367	16234	102441
1368	16246	102426
1369	16255	102397
1370	16265	102371
1371	16279	102377
1372	16290	102359
1373	16299	102329
1374	16310	102312
1375	16321	102291
1376	16331	102269
1377	16341	102247
1378	16352	102231
1379	16364	102217
1380	16376	102209
1381	16387	102192
1382	16396	102159
1383	16406	102138
1384	16415	102105
1385	16425	102082
1386	16433	102049
1387	16444	102031
1388	16455	102012
1389	16465	101990
1390	16476	101973
1391	16487	101959
1392	16497	101935
1393	16509	101923
1394	16521	101914
1395	16533	101902
1396	16547	101903
1397	16559	101893
1398	16571	101880
1399	16582	101864
1400	16593	101844
1401	16604	101831
1402	16616	101819
1403	16626	101797
1404	16638	101787
1405	16649	101767
1406	16660	101749
1407	16670	101728
1408	16679	101697
1409	16689	101672
1410	16699	101651
1411	16707	101620
1412	16718	101598
1413	16726	101568
1414	16739	101558
1415	16753	101559
1416	16767	101562
1417	16778	101546
1418	16787	101519
1419	16798	101498
1420	16811	101494
1421	16821	101471
1422	16832	101453
1423	16841	101427
1424	16853	101417
1425	16864	101401
1426	16873	101371
1427	16886	101366
1428	16896	101344
1429	16905	101313
1430	16915	101289
1431	16923	101257
1432	16934	101238
1433	16944	101219
1434	16954	101194
1435	16964	101175
1436	16975	101156
1437	16985	101136
1438	16998	101130
1439	17009	101111
1440	17018	101080
1441	17029	101068
1442	17040	101052
1443	17051	101030
1444	17063	101021
1445	17076	101018
1446	17086	100995
1447	17097	100977
1448	17108	100963
1449	17119	100945
1450	17130	100930
1451	17142	100917
1452	17152	100894
1453	17163	100878
1454	17176	100872
1455	17188	100864
1456	17200	100854
1457	17214	100853
1458	17226	100845
1459	17237	100828
1460	17247	100806
1461	17261	100804
1462	17277	100816
1463	17288	100800
1464	17299	100785
1465	17310	100768
1466	17321	100751
1467	17330	100726
1468	17342	100713
1469	17353	100698
1470	17363	100677
1471	17378	100679
1472	17389	100666
1473	17401	100653
1474	17414	100647
1475	17427	100642
1476	17439	100634
1477	17451	100621
1478	17460	100598
1479	17472	100586
